23
#n byc byly do dojsc i juz kaczynski lato lecha na oda on pis po smolenski sprawic ten teoria to wies wprost z zab
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 154
0.4 0.0 0.0 0.0 0.0 0.8 0.2 0.2 0.0 0.0 1.0 0.0 0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 Antoni
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Blasik
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Bronislaw
0.0 0.0 0.75 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.75 0.0 0.0 Donald
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.4 0.0 0.8 0.0 0.4 0.0 0.0 0.0 0.0 0.6 0.0 0.0 0.0 Kaczynski
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Komorowski
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Krauze
0.2 0.0 0.0 0.0 0.0 1.0 0.0 0.4 0.0 0.0 0.8 0.0 0.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.8 0.0 Macierewicz
0.7142857142857143 0.0 0.0 0.07142857142857142 1.0 0.07142857142857142 0.0 0.0 0.0 0.21428571428571427 0.0 0.0 0.0 0.7142857142857143 0.0 0.0 0.0 0.0 0.14285714285714285 0.5714285714285714 0.2857142857142857 0.7142857142857143 0.42857142857142855 Putin
0.0 0.0 0.0 0.0 0.0 0.0 0.07142857142857142 0.07142857142857142 0.03571428571428571 0.10714285714285714 0.10714285714285714 0.07142857142857142 0.17857142857142858 0.0 0.0 0.10714285714285714 0.0 0.10714285714285714 0.0 1.0 0.0 0.0 0.10714285714285714 Smolensk
0.42857142857142855 0.0 0.42857142857142855 0.14285714285714285 0.7142857142857143 0.0 0.0 0.0 0.0 0.35714285714285715 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.2857142857142857 0.0 0.0 Tusk
0.0 0.0 0.0 0.0 0.75 0.0 0.0 0.5 0.0 1.0 0.0 0.25 0.0 0.0 0.0 0.0 0.0 0.0 0.75 0.0 0.0 0.5 0.0 analiza
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 blad
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 bomba
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 brzoza
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 dym
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ekspert
