correct_catastrophy, neutral_from_wiki, correct_assasination, neutral_from_wiki, 
assasination_2010_3, 15357.938284, 15231.643705, 15512.742062, 15231.643705, 
assasination_2010_4, 17834.185073, 17374.652265, 17367.978849, 17374.652265, 
assasination_2010_6, 20906.476640, 19999.648883, 20722.867003, 19999.648883, 
assasination_2010_7, 18522.334696, 18519.562893, 17754.973299, 18519.562893, 
assasination_2010_8, 18364.700004, 17820.553450, 17634.577493, 17820.553450, 
assasination_2011_1, 19681.183394, 19353.129099, 18887.455027, 19353.129099, 
assasination_2011_10, 18008.920114, 18152.162556, 17022.760902, 18152.162556, 
assasination_2011_2, 18162.950010, 17736.620456, 18039.498416, 17736.620456, 
assasination_2011_3, 18773.257080, 18332.400090, 18808.957264, 18332.400090, 
assasination_2011_4, 18507.013293, 17418.146588, 18120.761748, 17418.146588, 
assasination_2011_5, 14673.758382, 15046.760833, 14402.487424, 15046.760833, 
assasination_2011_6, 20654.580634, 19947.738242, 20318.889264, 19947.738242, 
assasination_2011_8, 18897.727930, 18506.002265, 18901.605726, 18506.002265, 
assasination_2011_9, 17533.679798, 17843.507310, 17853.997251, 17843.507310, 
assasination_2012_1, 21296.077991, 20688.352441, 20272.220795, 20688.352441, 
assasination_2012_10, 19538.449772, 19082.557617, 18978.149298, 19082.557617, 
assasination_2012_4, 16578.734919, 16402.953647, 16707.061412, 16402.953647, 
assasination_2012_5, 19518.862789, 18536.039464, 18999.902952, 18536.039464, 
assasination_2012_7, 18905.029135, 18411.746519, 19041.635526, 18411.746519, 
assasination_2012_8, 18742.283180, 18669.604633, 19363.977487, 18669.604633, 
assasination_2012_9, 20883.567240, 20261.199331, 19322.095149, 20261.199331, 
assasination_2013_3, 22086.235455, 21621.875320, 21807.078299, 21621.875320, 
assasination_2013_4, 23182.762811, 22177.293327, 22441.429935, 22177.293327, 
assasination_2013_5, 15189.527151, 15525.442274, 15076.343876, 15525.442274, 
assasination_2013_6, 15322.644361, 15104.875919, 15224.117154, 15104.875919, 
assasination_2013_7, 19199.874100, 19144.230907, 19443.469550, 19144.230907, 
assasination_2013_8, 19887.902835, 19160.786398, 18877.120310, 19160.786398, 
assasination_2013_9, 18815.790891, 18693.862346, 18504.995972, 18693.862346, 
assasination_2014_10, 15347.988565, 15914.526997, 15632.897941, 15914.526997, 
assasination_2014_5, 17750.835575, 17798.840687, 18021.862069, 17798.840687, 
assasination_2014_6, 15517.320946, 15551.006194, 16370.250486, 15551.006194, 
assasination_2014_7, 19761.511202, 19858.531118, 18628.997552, 19858.531118, 
assasination_2014_8, 19600.212483, 19486.850300, 20153.345815, 19486.850300, 
assasination_2015_10, 19672.070360, 18663.054984, 19871.052101, 18663.054984, 
assasination_2015_2, 19386.756530, 19261.939921, 19395.986957, 19261.939921, 
assasination_2015_5, 20229.750759, 19132.760526, 19582.838437, 19132.760526, 
assasination_2015_8, 19566.101377, 19116.519494, 18930.228928, 19116.519494, 
assasination_2016_1, 18934.519032, 18730.264913, 19183.723195, 18730.264913, 
assasination_2016_5, 21318.288217, 21631.428997, 21145.612319, 21631.428997, 
assasination_2016_7, 20286.705291, 20099.943742, 19818.682246, 20099.943742, 
