correct_catastrophy, neutral_from_wiki, correct_assasination, neutral_from_wiki, 
catastrophy_2010_1, 19479.050873, 19320.912199, 19811.719987, 19320.912199, 
catastrophy_2010_10, 21973.411777, 20831.551422, 21602.774763, 20831.551422, 
catastrophy_2010_2, 20019.532118, 18913.319340, 19885.127405, 18913.319340, 
catastrophy_2010_5, 20594.377128, 19894.216146, 20524.388884, 19894.216146, 
catastrophy_2010_9, 21107.195932, 20824.597342, 21282.129100, 20824.597342, 
catastrophy_2012_2, 19712.231344, 19594.189355, 19429.354634, 19594.189355, 
catastrophy_2012_3, 18819.932400, 18135.865903, 18869.684298, 18135.865903, 
catastrophy_2012_6, 20140.788400, 19933.274745, 20087.055411, 19933.274745, 
catastrophy_2013_1, 16272.174398, 16781.937305, 16934.112845, 16781.937305, 
catastrophy_2013_2, 19859.685088, 19897.208247, 19595.999127, 19897.208247, 
catastrophy_2014_1, 20262.091161, 19372.032822, 19421.853685, 19372.032822, 
catastrophy_2014_2, 19012.841007, 19093.046598, 19389.027913, 19093.046598, 
catastrophy_2014_3, 19150.291543, 18766.491086, 19390.755487, 18766.491086, 
catastrophy_2014_4, 15176.244161, 14690.932336, 15938.753153, 14690.932336, 
catastrophy_2014_9, 16241.333540, 16439.410134, 15534.644240, 16439.410134, 
catastrophy_2015_1, 18550.190562, 17682.335788, 18600.532630, 17682.335788, 
catastrophy_2015_3, 18785.081213, 18628.788831, 18865.150432, 18628.788831, 
catastrophy_2015_4, 20729.639735, 21000.611708, 19926.722914, 21000.611708, 
catastrophy_2015_6, 19728.070104, 19050.283493, 19695.229166, 19050.283493, 
catastrophy_2015_7, 19680.635800, 19050.706888, 20503.691151, 19050.706888, 
catastrophy_2015_9, 18708.013246, 18574.404583, 18921.993685, 18574.404583, 
catastrophy_2016_10, 20857.620682, 20085.379420, 20590.156060, 20085.379420, 
catastrophy_2016_2, 21722.440360, 21694.307630, 21029.943391, 21694.307630, 
catastrophy_2016_3, 24519.052651, 24173.711850, 24491.030181, 24173.711850, 
catastrophy_2016_4, 20634.556327, 19834.875644, 20115.626408, 19834.875644, 
catastrophy_2016_6, 17590.553515, 17399.442667, 16746.948630, 17399.442667, 
catastrophy_2016_8, 17609.151268, 17789.129837, 16917.926451, 17789.129837, 
catastrophy_2016_9, 19657.635779, 19099.313538, 19325.553528, 19099.313538, 
