filename, neutral-current_unit, biased-neutral_unit, last-neutral_unit, neutral-current_l2, biased-current_l2, last-current_l2 
biased_fraction01, 298.507824, -133.080146, 298.507824, -34938.819117, 32235.855504, -34938.819117, 
biased_fraction02, 298.507824, -133.080146, 0.000000, -34938.819117, 32235.855504, 0.000000, 
biased_fraction03, 397.519111, -34.068859, 99.011287, -31953.911992, 35220.762628, 2984.907124, 
biased_fraction04, 501.874066, 70.286095, 104.354955, -31037.363391, 36137.311230, 916.548602, 
biased_fraction05, 819.310766, 387.722796, 317.436701, -28413.942604, 38760.732017, 2623.420787, 
biased_fraction06, 2502.853752, 2071.265782, 1683.542986, -12953.833739, 54220.840882, 15460.108865, 
biased_fraction07, 2223.491318, 1791.903347, -279.362434, -6494.661506, 60680.013115, 6459.172233, 
biased_fraction08, 2370.146376, 1938.558405, 146.655058, -141.400025, 67033.274595, 6353.261480, 
biased_fraction09, 2286.692774, 1855.104803, -83.453602, 4342.253478, 71516.928098, 4483.653503, 
biased_fraction10, 2404.257983, 1972.670012, 117.565209, 5678.848911, 72853.523532, 1336.595433, 
biased_fraction11, 2300.935516, 1869.347545, -103.322467, 8672.340844, 75847.015465, 2993.491933, 
biased_fraction12, 2124.286707, 1692.698736, -176.648809, 15227.711893, 82402.386514, 6555.371048, 
biased_fraction13, 1720.432512, 1288.844541, -403.854195, 22596.532726, 89771.207347, 7368.820833, 
biased_fraction14, 1756.922316, 1325.334346, 36.489805, 23112.245553, 90286.920173, 515.712826, 
biased_fraction15, 1860.483069, 1428.895098, 103.560753, 28133.857798, 95308.532419, 5021.612246, 
biased_fraction16, 1719.653946, 1288.065976, -140.829123, 32812.703183, 99987.377804, 4678.845385, 
biased_fraction17, 1775.550761, 1343.962791, 55.896815, 35255.873446, 102430.548067, 2443.170263, 
biased_fraction18, 1825.941085, 1394.353114, 50.390323, 41419.933536, 108594.608157, 6164.060090, 
biased_fraction19, 1915.472089, 1483.884119, 89.531004, 47370.694199, 114545.368820, 5950.760663, 
biased_fraction20, 1782.667960, 1351.079989, -132.804130, 47832.821741, 115007.496361, 462.127541, 
biased_fraction21, 1700.127997, 1268.540027, -82.539963, 53561.787053, 120736.461673, 5728.965312, 
biased_fraction22, 1994.705178, 1563.117208, 294.577182, 62567.512465, 129742.187086, 9005.725412, 
biased_fraction23, 1310.256231, 878.668261, -684.448947, 71572.681491, 138747.356112, 9005.169026, 
biased_fraction24, 1480.177692, 1048.589722, 169.921461, 76166.438277, 143341.112898, 4593.756786, 
biased_fraction25, 1531.027075, 1099.439105, 50.849383, 77122.052456, 144296.727077, 955.614179, 
biased_fraction26, 1425.907953, 994.319983, -105.119122, 84170.039568, 151344.714188, 7047.987111, 
biased_fraction27, 1198.400631, 766.812661, -227.507322, 91350.910182, 158525.584802, 7180.870614, 
biased_fraction28, 1422.453066, 990.865096, 224.052435, 96524.725125, 163699.399746, 5173.814944, 
biased_fraction29, 1425.869847, 994.281877, 3.416781, 96412.227649, 163586.902269, -112.497477, 
