filename, neutral-current_unit, biased-neutral_unit, last-neutral_unit, neutral-current_l2, biased-current_l2, last-current_l2 
biased_fraction01, 7408.645532, 12337.224601, 9611.553714, 1277.528394, 1874.948534, 2186.652092, 
biased_fraction02, 7408.645532, 12337.224601, 0.000000, 1277.528394, 1874.948534, 0.000000, 
biased_fraction03, 9685.590140, 12103.832759, 7856.204080, 1411.013725, 1813.741414, 1025.159063, 
biased_fraction04, 9830.445906, 11921.981324, 6393.740746, 1557.880673, 1848.144851, 755.137279, 
biased_fraction05, 10041.890230, 12111.786506, 5060.380571, 1640.169916, 1884.903810, 661.126657, 
biased_fraction06, 10392.135200, 11520.269084, 7071.012089, 1880.880174, 2060.235324, 996.276377, 
biased_fraction07, 10335.309425, 11631.714177, 3674.828002, 1975.706798, 2076.022123, 585.842313, 
biased_fraction08, 10176.378656, 11793.998856, 3301.668241, 2059.745521, 2163.164933, 487.625217, 
biased_fraction09, 10040.152369, 11410.827234, 4544.822729, 1998.052829, 2079.087141, 620.945648, 
biased_fraction10, 10176.752273, 11162.781891, 3965.998485, 2062.728437, 2171.010604, 519.448953, 
biased_fraction11, 10458.889455, 11387.805568, 4246.654399, 2168.277238, 2122.979339, 645.449182, 
biased_fraction12, 10007.433331, 11272.896831, 2497.546498, 2110.007748, 2127.283410, 452.398276, 
biased_fraction13, 10099.060703, 11231.317384, 2332.808920, 2225.014659, 2145.642166, 452.657152, 
biased_fraction14, 10236.546978, 11074.005081, 3637.806512, 2151.284157, 2072.762028, 584.941897, 
biased_fraction15, 10719.787686, 11276.277484, 2516.159148, 2311.098095, 2275.152840, 591.999140, 
biased_fraction16, 9918.834037, 10752.700133, 4022.206910, 2289.617754, 2209.617065, 626.984306, 
biased_fraction17, 10113.535489, 10627.140712, 2429.050371, 2270.468116, 2184.253551, 451.917775, 
biased_fraction18, 10259.605890, 10860.893812, 4705.607815, 2477.408551, 2378.714058, 654.632854, 
biased_fraction19, 9956.645112, 10913.470027, 2957.731545, 2401.256633, 2307.554329, 414.360979, 
biased_fraction20, 10030.753630, 10988.765061, 3067.321225, 2293.252621, 2200.420381, 508.024321, 
biased_fraction21, 9852.218084, 11048.269118, 5025.508357, 2245.623453, 2125.587227, 687.807207, 
biased_fraction22, 9885.498064, 11104.141893, 2469.680510, 2387.415794, 2250.649485, 473.425962, 
biased_fraction23, 10299.510559, 11178.473284, 1864.208236, 2448.715228, 2324.820486, 325.389126, 
biased_fraction24, 9932.589278, 10993.722491, 2957.855125, 2361.895308, 2204.072482, 473.459667, 
biased_fraction25, 9549.914124, 10991.498678, 2018.467041, 2410.908212, 2229.157848, 349.228837, 
biased_fraction26, 9572.440177, 10890.060938, 2043.971628, 2319.417857, 2169.249676, 478.179000, 
biased_fraction27, 9672.134794, 10960.984589, 2548.354768, 2324.184071, 2207.111409, 419.748504, 
biased_fraction28, 9719.709924, 10880.657717, 3216.259699, 2266.672964, 2195.395729, 496.088878, 
biased_fraction29, 9719.709924, 10880.657717, 0.000000, 2267.296652, 2195.973033, 0.976223, 
